"date","botfam","industry","hosts","orgs"
2016-06-22,"Necurs","Government/Politics",193,18
2016-06-22,"Necurs","Healthcare/Wellness",16,15
2016-06-22,"Necurs","Manufacturing",358,24
2016-06-22,"Necurs","Retail",104,12
2016-06-22,"Olmasco","Education",2,1
2016-06-22,"Olmasco","Healthcare/Wellness",1,1
2016-06-22,"Olmasco","Manufacturing",2,1
2016-06-22,"Olmasco","Retail",4,2
2016-06-22,"PushDo","Education",11,3
2016-06-22,"PushDo","Finance",16,1
2016-06-22,"PushDo","Government/Politics",10,2
2016-06-22,"PushDo","Healthcare/Wellness",4,1
2016-06-22,"PushDo","Manufacturing",425,9
2016-06-22,"PushDo","Retail",292,2
2016-06-22,"Ramnit","Education",101,53
2016-06-22,"Ramnit","Finance",36,17
2016-06-22,"Ramnit","Government/Politics",61,13
2016-06-22,"Ramnit","Healthcare/Wellness",7,6
2016-06-22,"Ramnit","Manufacturing",574,13
2016-06-22,"Ramnit","Retail",195,6
2016-06-22,"Sality","Education",95,35
2016-06-22,"Sality","Finance",137,21
2016-06-22,"Sality","Government/Politics",111,11
2016-06-22,"Sality","Healthcare/Wellness",10,6
2016-06-22,"Sality","Manufacturing",353,22
2016-06-22,"Sality","Retail",148,10
2016-06-22,"zeroaccess","Education",11,8
2016-06-22,"zeroaccess","Finance",9,6
2016-06-22,"zeroaccess","Government/Politics",8,3
2016-06-22,"zeroaccess","Healthcare/Wellness",8,5
2016-06-22,"zeroaccess","Manufacturing",24,5
2016-06-22,"zeroaccess","Retail",196,5
2016-06-22,"Zeus","Education",46,21
2016-06-22,"Zeus","Finance",15,13
2016-06-22,"Zeus","Government/Politics",7,4
2016-06-22,"Zeus","Healthcare/Wellness",9,6
2016-06-22,"Zeus","Manufacturing",40,14
2016-06-22,"Zeus","Retail",43,5
2016-06-22,"Zusy","Education",42,16
2016-06-22,"Zusy","Finance",25,6
2016-06-22,"Zusy","Government/Politics",4,4
2016-06-22,"Zusy","Healthcare/Wellness",5,3
2016-06-22,"Zusy","Manufacturing",36,4
2016-06-22,"Zusy","Retail",468,5
2016-06-23,"Bedep","Education",49,18
2016-06-23,"Bedep","Finance",161,9
2016-06-23,"Bedep","Government/Politics",42,16
2016-06-23,"Bedep","Healthcare/Wellness",38,6
2016-06-23,"Bedep","Manufacturing",38,12
2016-06-23,"Bedep","Retail",289,6
2016-06-23,"ConfickerAB","Education",552,85
2016-06-23,"ConfickerAB","Finance",268,50
2016-06-23,"ConfickerAB","Government/Politics",373,35
2016-06-23,"ConfickerAB","Healthcare/Wellness",331,104
2016-06-23,"ConfickerAB","Manufacturing",1495,83
2016-06-23,"ConfickerAB","Retail",896,49
2016-06-23,"Necurs","Education",148,58
2016-06-23,"Necurs","Finance",53,31
2016-06-23,"Necurs","Government/Politics",178,16
2016-06-23,"Necurs","Healthcare/Wellness",13,10
2016-06-23,"Necurs","Manufacturing",340,30
2016-06-23,"Necurs","Retail",87,12
2016-06-23,"Olmasco","Education",4,3
2016-06-23,"Olmasco","Manufacturing",2,1
2016-06-23,"Olmasco","Retail",6,2
2016-06-23,"PushDo","Education",13,1
2016-06-23,"PushDo","Finance",18,1
2016-06-23,"PushDo","Government/Politics",9,2
2016-06-23,"PushDo","Healthcare/Wellness",4,1
2016-06-23,"PushDo","Manufacturing",449,9
2016-06-23,"PushDo","Retail",393,3
2016-06-23,"Ramnit","Education",91,52
2016-06-23,"Ramnit","Finance",30,20
2016-06-23,"Ramnit","Government/Politics",70,10
2016-06-23,"Ramnit","Healthcare/Wellness",6,6
2016-06-23,"Ramnit","Manufacturing",547,13
2016-06-23,"Ramnit","Retail",208,7
2016-06-23,"Sality","Education",81,37
2016-06-23,"Sality","Finance",120,17
2016-06-23,"Sality","Government/Politics",122,11
2016-06-23,"Sality","Healthcare/Wellness",6,5
2016-06-23,"Sality","Manufacturing",333,25
2016-06-23,"Sality","Retail",170,10
2016-06-23,"zeroaccess","Education",9,5
2016-06-23,"zeroaccess","Finance",4,1
2016-06-23,"zeroaccess","Government/Politics",9,5
2016-06-23,"zeroaccess","Healthcare/Wellness",5,3
2016-06-23,"zeroaccess","Manufacturing",22,5
2016-06-23,"zeroaccess","Retail",220,7
2016-06-23,"Zeus","Education",38,20
2016-06-23,"Zeus","Finance",15,13
2016-06-23,"Zeus","Government/Politics",11,7
2016-06-23,"Zeus","Healthcare/Wellness",6,6
2016-06-23,"Zeus","Manufacturing",44,12
2016-06-23,"Zeus","Retail",44,4
2016-06-23,"Zusy","Education",44,14
2016-06-23,"Zusy","Finance",29,7
2016-06-23,"Zusy","Government/Politics",5,5
2016-06-23,"Zusy","Healthcare/Wellness",7,3
2016-06-23,"Zusy","Manufacturing",50,5
2016-06-23,"Zusy","Retail",425,5
2016-06-24,"Bedep","Education",26,13
2016-06-24,"Bedep","Finance",213,10
2016-06-24,"Bedep","Government/Politics",30,13
2016-06-24,"Bedep","Healthcare/Wellness",30,5
2016-06-24,"Bedep","Manufacturing",35,8
2016-06-24,"Bedep","Retail",243,4
2016-06-24,"ConfickerAB","Education",514,84
2016-06-24,"ConfickerAB","Finance",241,50
2016-06-24,"ConfickerAB","Government/Politics",345,33
2016-06-24,"ConfickerAB","Healthcare/Wellness",329,105
2016-06-24,"ConfickerAB","Manufacturing",1430,84
2016-06-24,"ConfickerAB","Retail",950,43
2016-06-24,"Necurs","Education",62,27
2016-06-24,"Necurs","Finance",31,24
2016-06-24,"Necurs","Government/Politics",192,8
2016-06-24,"Necurs","Healthcare/Wellness",9,8
2016-06-24,"Necurs","Manufacturing",211,17
2016-06-24,"Necurs","Retail",81,7
2016-06-24,"Olmasco","Education",1,1
2016-06-24,"Olmasco","Healthcare/Wellness",2,1
2016-06-24,"Olmasco","Manufacturing",3,2
2016-06-24,"Olmasco","Retail",12,2
2016-06-24,"PushDo","Education",2,1
2016-06-24,"PushDo","Finance",22,1
2016-06-24,"PushDo","Government/Politics",1,1
2016-06-24,"PushDo","Healthcare/Wellness",5,1
2016-06-24,"PushDo","Manufacturing",526,7
2016-06-24,"PushDo","Retail",388,2
2016-06-24,"Ramnit","Education",89,47
2016-06-24,"Ramnit","Finance",28,20
2016-06-24,"Ramnit","Government/Politics",62,9
2016-06-24,"Ramnit","Healthcare/Wellness",6,5
2016-06-24,"Ramnit","Manufacturing",577,16
2016-06-24,"Ramnit","Retail",199,7
2016-06-24,"Sality","Education",74,35
2016-06-24,"Sality","Finance",97,15
2016-06-24,"Sality","Government/Politics",111,12
2016-06-24,"Sality","Healthcare/Wellness",12,6
2016-06-24,"Sality","Manufacturing",328,23
2016-06-24,"Sality","Retail",165,10
2016-06-24,"zeroaccess","Education",6,5
2016-06-24,"zeroaccess","Finance",7,3
2016-06-24,"zeroaccess","Government/Politics",6,4
2016-06-24,"zeroaccess","Healthcare/Wellness",6,3
2016-06-24,"zeroaccess","Manufacturing",28,8
2016-06-24,"zeroaccess","Retail",208,4
2016-06-24,"Zeus","Education",48,22
2016-06-24,"Zeus","Finance",11,10
2016-06-24,"Zeus","Government/Politics",12,7
2016-06-24,"Zeus","Healthcare/Wellness",11,7
2016-06-24,"Zeus","Manufacturing",44,12
2016-06-24,"Zeus","Retail",33,5
2016-06-24,"Zusy","Education",40,11
2016-06-24,"Zusy","Finance",34,5
2016-06-24,"Zusy","Government/Politics",5,4
2016-06-24,"Zusy","Healthcare/Wellness",6,4
2016-06-24,"Zusy","Manufacturing",30,3
2016-06-24,"Zusy","Retail",440,4
2016-06-25,"Bedep","Education",14,7
2016-06-25,"Bedep","Finance",170,5
2016-06-25,"Bedep","Government/Politics",6,3
2016-06-25,"Bedep","Healthcare/Wellness",12,4
2016-06-25,"Bedep","Manufacturing",35,7
2016-06-25,"Bedep","Retail",262,6
2016-06-25,"ConfickerAB","Education",270,82
2016-06-25,"ConfickerAB","Finance",134,45
2016-06-25,"ConfickerAB","Government/Politics",166,31
2016-06-25,"ConfickerAB","Healthcare/Wellness",191,97
2016-06-25,"ConfickerAB","Manufacturing",780,65
2016-06-25,"ConfickerAB","Retail",501,36
2016-06-25,"Necurs","Education",11,9
2016-06-25,"Necurs","Finance",7,5
2016-06-25,"Necurs","Government/Politics",60,4
2016-06-25,"Necurs","Healthcare/Wellness",1,1
2016-06-25,"Necurs","Manufacturing",18,1
2016-06-25,"Necurs","Retail",2,2
2016-06-25,"Olmasco","Healthcare/Wellness",1,1
2016-06-25,"Olmasco","Manufacturing",2,1
2016-06-25,"Olmasco","Retail",4,2
2016-06-25,"PushDo","Finance",17,2
2016-06-25,"PushDo","Government/Politics",1,1
2016-06-25,"PushDo","Manufacturing",506,4
2016-06-25,"PushDo","Retail",386,2
2016-06-25,"Ramnit","Education",65,39
2016-06-25,"Ramnit","Finance",17,12
2016-06-25,"Ramnit","Government/Politics",43,5
2016-06-25,"Ramnit","Healthcare/Wellness",6,4
2016-06-25,"Ramnit","Manufacturing",548,12
2016-06-25,"Ramnit","Retail",160,5
2016-06-25,"Sality","Education",75,36
2016-06-25,"Sality","Finance",71,15
2016-06-25,"Sality","Government/Politics",92,10
2016-06-25,"Sality","Healthcare/Wellness",10,6
2016-06-25,"Sality","Manufacturing",230,22
2016-06-25,"Sality","Retail",152,9
2016-06-25,"zeroaccess","Education",4,3
2016-06-25,"zeroaccess","Healthcare/Wellness",1,1
2016-06-25,"zeroaccess","Manufacturing",8,3
2016-06-25,"zeroaccess","Retail",82,2
2016-06-25,"Zeus","Education",13,7
2016-06-25,"Zeus","Finance",5,5
2016-06-25,"Zeus","Government/Politics",1,1
2016-06-25,"Zeus","Healthcare/Wellness",1,1
2016-06-25,"Zeus","Manufacturing",11,6
2016-06-25,"Zeus","Retail",14,4
2016-06-25,"Zusy","Education",21,9
2016-06-25,"Zusy","Finance",22,6
2016-06-25,"Zusy","Government/Politics",1,1
2016-06-25,"Zusy","Healthcare/Wellness",5,2
2016-06-25,"Zusy","Manufacturing",31,1
2016-06-25,"Zusy","Retail",210,3
2016-06-26,"Bedep","Education",19,11
2016-06-26,"Bedep","Finance",196,5
2016-06-26,"Bedep","Government/Politics",9,6
2016-06-26,"Bedep","Healthcare/Wellness",18,6
2016-06-26,"Bedep","Manufacturing",30,7
2016-06-26,"Bedep","Retail",290,3
2016-06-26,"ConfickerAB","Education",452,82
2016-06-26,"ConfickerAB","Finance",261,47
2016-06-26,"ConfickerAB","Government/Politics",274,32
2016-06-26,"ConfickerAB","Healthcare/Wellness",329,99
2016-06-26,"ConfickerAB","Manufacturing",1371,71
2016-06-26,"ConfickerAB","Retail",934,38
2016-06-26,"Necurs","Education",6,5
2016-06-26,"Necurs","Finance",3,3
2016-06-26,"Necurs","Government/Politics",7,3
2016-06-26,"Necurs","Healthcare/Wellness",2,2
2016-06-26,"Necurs","Manufacturing",14,2
2016-06-26,"Necurs","Retail",9,3
2016-06-26,"Olmasco","Healthcare/Wellness",1,1
2016-06-26,"Olmasco","Manufacturing",1,1
2016-06-26,"Olmasco","Retail",14,2
2016-06-26,"PushDo","Education",2,1
2016-06-26,"PushDo","Manufacturing",470,2
2016-06-26,"PushDo","Retail",472,2
2016-06-26,"Ramnit","Education",70,41
2016-06-26,"Ramnit","Finance",23,16
2016-06-26,"Ramnit","Government/Politics",46,5
2016-06-26,"Ramnit","Healthcare/Wellness",9,4
2016-06-26,"Ramnit","Manufacturing",590,8
2016-06-26,"Ramnit","Retail",196,6
2016-06-26,"Sality","Education",80,37
2016-06-26,"Sality","Finance",53,14
2016-06-26,"Sality","Government/Politics",68,7
2016-06-26,"Sality","Healthcare/Wellness",6,5
2016-06-26,"Sality","Manufacturing",163,20
2016-06-26,"Sality","Retail",127,8
2016-06-26,"zeroaccess","Education",15,9
2016-06-26,"zeroaccess","Finance",10,4
2016-06-26,"zeroaccess","Government/Politics",7,4
2016-06-26,"zeroaccess","Healthcare/Wellness",4,3
2016-06-26,"zeroaccess","Manufacturing",31,5
2016-06-26,"zeroaccess","Retail",298,7
2016-06-26,"Zeus","Education",44,22
2016-06-26,"Zeus","Finance",6,5
2016-06-26,"Zeus","Government/Politics",1,1
2016-06-26,"Zeus","Healthcare/Wellness",3,3
2016-06-26,"Zeus","Manufacturing",55,8
2016-06-26,"Zeus","Retail",30,4
2016-06-26,"Zusy","Education",36,12
2016-06-26,"Zusy","Finance",9,3
2016-06-26,"Zusy","Government/Politics",1,1
2016-06-26,"Zusy","Healthcare/Wellness",2,2
2016-06-26,"Zusy","Manufacturing",11,1
2016-06-26,"Zusy","Retail",559,3
2016-06-27,"Bedep","Education",34,12
2016-06-27,"Bedep","Finance",207,6
2016-06-27,"Bedep","Government/Politics",15,10
2016-06-27,"Bedep","Healthcare/Wellness",18,4
2016-06-27,"Bedep","Manufacturing",33,9
2016-06-27,"Bedep","Retail",267,4
2016-06-27,"ConfickerAB","Education",594,88
2016-06-27,"ConfickerAB","Finance",259,53
2016-06-27,"ConfickerAB","Government/Politics",342,32
2016-06-27,"ConfickerAB","Healthcare/Wellness",355,107
2016-06-27,"ConfickerAB","Manufacturing",1463,78
2016-06-27,"ConfickerAB","Retail",966,41
2016-06-27,"Necurs","Education",96,37
2016-06-27,"Necurs","Finance",40,28
2016-06-27,"Necurs","Government/Politics",178,11
2016-06-27,"Necurs","Healthcare/Wellness",14,13
2016-06-27,"Necurs","Manufacturing",240,23
2016-06-27,"Necurs","Retail",108,6
2016-06-27,"Olmasco","Healthcare/Wellness",1,1
2016-06-27,"Olmasco","Manufacturing",2,1
2016-06-27,"Olmasco","Retail",8,2
2016-06-27,"PushDo","Finance",30,2
2016-06-27,"PushDo","Government/Politics",5,2
2016-06-27,"PushDo","Healthcare/Wellness",5,1
2016-06-27,"PushDo","Manufacturing",599,9
2016-06-27,"PushDo","Retail",586,3
2016-06-27,"Ramnit","Education",100,49
2016-06-27,"Ramnit","Finance",27,14
2016-06-27,"Ramnit","Government/Politics",66,9
2016-06-27,"Ramnit","Healthcare/Wellness",7,7
2016-06-27,"Ramnit","Manufacturing",706,13
2016-06-27,"Ramnit","Retail",186,5
2016-06-27,"Sality","Education",99,38
2016-06-27,"Sality","Finance",123,23
2016-06-27,"Sality","Government/Politics",124,14
2016-06-27,"Sality","Healthcare/Wellness",9,7
2016-06-27,"Sality","Manufacturing",332,23
2016-06-27,"Sality","Retail",136,9
2016-06-27,"zeroaccess","Education",10,8
2016-06-27,"zeroaccess","Finance",10,6
2016-06-27,"zeroaccess","Government/Politics",12,3
2016-06-27,"zeroaccess","Healthcare/Wellness",9,6
2016-06-27,"zeroaccess","Manufacturing",27,6
2016-06-27,"zeroaccess","Retail",202,4
2016-06-27,"Zeus","Education",43,22
2016-06-27,"Zeus","Finance",14,12
2016-06-27,"Zeus","Government/Politics",9,6
2016-06-27,"Zeus","Healthcare/Wellness",14,7
2016-06-27,"Zeus","Manufacturing",45,12
2016-06-27,"Zeus","Retail",49,5
2016-06-27,"Zusy","Education",46,15
2016-06-27,"Zusy","Finance",25,6
2016-06-27,"Zusy","Government/Politics",5,2
2016-06-27,"Zusy","Healthcare/Wellness",6,3
2016-06-27,"Zusy","Manufacturing",45,3
2016-06-27,"Zusy","Retail",371,5
2016-06-28,"Bedep","Education",21,12
2016-06-28,"Bedep","Finance",197,6
2016-06-28,"Bedep","Government/Politics",19,9
2016-06-28,"Bedep","Healthcare/Wellness",27,4
2016-06-28,"Bedep","Manufacturing",36,8
2016-06-28,"Bedep","Retail",294,5
2016-06-28,"ConfickerAB","Education",522,84
2016-06-28,"ConfickerAB","Finance",258,47
2016-06-28,"ConfickerAB","Government/Politics",339,34
2016-06-28,"ConfickerAB","Healthcare/Wellness",338,105
2016-06-28,"ConfickerAB","Manufacturing",1418,76
2016-06-28,"ConfickerAB","Retail",983,41
2016-06-28,"Necurs","Education",94,31
2016-06-28,"Necurs","Finance",41,32
2016-06-28,"Necurs","Government/Politics",236,10
2016-06-28,"Necurs","Healthcare/Wellness",14,14
2016-06-28,"Necurs","Manufacturing",267,25
2016-06-28,"Necurs","Retail",165,8
2016-06-28,"Olmasco","Healthcare/Wellness",1,1
2016-06-28,"Olmasco","Manufacturing",2,1
2016-06-28,"Olmasco","Retail",8,2
2016-06-28,"PushDo","Education",3,1
2016-06-28,"PushDo","Finance",55,2
2016-06-28,"PushDo","Government/Politics",7,2
2016-06-28,"PushDo","Healthcare/Wellness",4,1
2016-06-28,"PushDo","Manufacturing",663,9
2016-06-28,"PushDo","Retail",394,2
2016-06-28,"Ramnit","Education",94,46
2016-06-28,"Ramnit","Finance",31,17
2016-06-28,"Ramnit","Government/Politics",62,8
2016-06-28,"Ramnit","Healthcare/Wellness",11,8
2016-06-28,"Ramnit","Manufacturing",617,13
2016-06-28,"Ramnit","Retail",197,9
2016-06-28,"Sality","Education",95,37
2016-06-28,"Sality","Finance",143,22
2016-06-28,"Sality","Government/Politics",124,15
2016-06-28,"Sality","Healthcare/Wellness",8,4
2016-06-28,"Sality","Manufacturing",330,23
2016-06-28,"Sality","Retail",157,9
2016-06-28,"zeroaccess","Education",15,8
2016-06-28,"zeroaccess","Finance",8,4
2016-06-28,"zeroaccess","Government/Politics",10,4
2016-06-28,"zeroaccess","Healthcare/Wellness",10,5
2016-06-28,"zeroaccess","Manufacturing",22,4
2016-06-28,"zeroaccess","Retail",207,3
2016-06-28,"Zeus","Education",50,21
2016-06-28,"Zeus","Finance",14,11
2016-06-28,"Zeus","Government/Politics",14,10
2016-06-28,"Zeus","Healthcare/Wellness",7,5
2016-06-28,"Zeus","Manufacturing",40,11
2016-06-28,"Zeus","Retail",27,5
2016-06-28,"Zusy","Education",31,13
2016-06-28,"Zusy","Finance",17,4
2016-06-28,"Zusy","Government/Politics",4,3
2016-06-28,"Zusy","Healthcare/Wellness",6,3
2016-06-28,"Zusy","Manufacturing",33,4
2016-06-28,"Zusy","Retail",396,4
2016-06-29,"Bedep","Education",34,14
2016-06-29,"Bedep","Finance",204,9
2016-06-29,"Bedep","Government/Politics",10,6
2016-06-29,"Bedep","Healthcare/Wellness",19,4
2016-06-29,"Bedep","Manufacturing",32,8
2016-06-29,"Bedep","Retail",297,6
2016-06-29,"ConfickerAB","Education",553,88
2016-06-29,"ConfickerAB","Finance",258,50
2016-06-29,"ConfickerAB","Government/Politics",336,34
2016-06-29,"ConfickerAB","Healthcare/Wellness",340,104
2016-06-29,"ConfickerAB","Manufacturing",1406,80
2016-06-29,"ConfickerAB","Retail",889,37
2016-06-29,"Necurs","Education",111,35
2016-06-29,"Necurs","Finance",61,36
2016-06-29,"Necurs","Government/Politics",240,10
2016-06-29,"Necurs","Healthcare/Wellness",14,11
2016-06-29,"Necurs","Manufacturing",300,25
2016-06-29,"Necurs","Retail",128,8
2016-06-29,"Olmasco","Education",3,2
2016-06-29,"Olmasco","Healthcare/Wellness",1,1
2016-06-29,"Olmasco","Manufacturing",1,1
2016-06-29,"Olmasco","Retail",4,2
2016-06-29,"PushDo","Finance",51,2
2016-06-29,"PushDo","Government/Politics",5,2
2016-06-29,"PushDo","Healthcare/Wellness",5,1
2016-06-29,"PushDo","Manufacturing",713,8
2016-06-29,"PushDo","Retail",142,2
2016-06-29,"Ramnit","Education",86,42
2016-06-29,"Ramnit","Finance",29,20
2016-06-29,"Ramnit","Government/Politics",61,9
2016-06-29,"Ramnit","Healthcare/Wellness",9,8
2016-06-29,"Ramnit","Manufacturing",664,13
2016-06-29,"Ramnit","Retail",188,5
2016-06-29,"Sality","Education",107,39
2016-06-29,"Sality","Finance",125,17
2016-06-29,"Sality","Government/Politics",124,14
2016-06-29,"Sality","Healthcare/Wellness",9,5
2016-06-29,"Sality","Manufacturing",351,22
2016-06-29,"Sality","Retail",139,10
2016-06-29,"zeroaccess","Education",10,6
2016-06-29,"zeroaccess","Finance",11,5
2016-06-29,"zeroaccess","Government/Politics",13,6
2016-06-29,"zeroaccess","Healthcare/Wellness",10,4
2016-06-29,"zeroaccess","Manufacturing",24,5
2016-06-29,"zeroaccess","Retail",206,6
2016-06-29,"Zeus","Education",51,25
2016-06-29,"Zeus","Finance",15,13
2016-06-29,"Zeus","Government/Politics",11,9
2016-06-29,"Zeus","Healthcare/Wellness",5,5
2016-06-29,"Zeus","Manufacturing",37,11
2016-06-29,"Zeus","Retail",27,5
2016-06-29,"Zusy","Education",31,14
2016-06-29,"Zusy","Finance",20,3
2016-06-29,"Zusy","Government/Politics",6,4
2016-06-29,"Zusy","Healthcare/Wellness",3,2
2016-06-29,"Zusy","Manufacturing",33,4
2016-06-29,"Zusy","Retail",404,4
2016-06-30,"Bedep","Education",38,12
2016-06-30,"Bedep","Finance",154,10
2016-06-30,"Bedep","Government/Politics",100,12
2016-06-30,"Bedep","Healthcare/Wellness",15,5
2016-06-30,"Bedep","Manufacturing",28,8
2016-06-30,"Bedep","Retail",256,4
2016-06-30,"ConfickerAB","Education",423,81
2016-06-30,"ConfickerAB","Finance",196,54
2016-06-30,"ConfickerAB","Government/Politics",255,32
2016-06-30,"ConfickerAB","Healthcare/Wellness",244,92
2016-06-30,"ConfickerAB","Manufacturing",1017,71
2016-06-30,"ConfickerAB","Retail",641,42
2016-06-30,"Necurs","Education",35,16
2016-06-30,"Necurs","Finance",25,20
2016-06-30,"Necurs","Government/Politics",45,9
2016-06-30,"Necurs","Healthcare/Wellness",8,8
2016-06-30,"Necurs","Manufacturing",125,16
2016-06-30,"Necurs","Retail",88,8
2016-06-30,"Olmasco","Education",2,1
2016-06-30,"Olmasco","Healthcare/Wellness",1,1
2016-06-30,"Olmasco","Manufacturing",5,1
2016-06-30,"PushDo","Finance",23,2
2016-06-30,"PushDo","Government/Politics",5,2
2016-06-30,"PushDo","Healthcare/Wellness",3,1
2016-06-30,"PushDo","Manufacturing",653,8
2016-06-30,"PushDo","Retail",138,2
2016-06-30,"Ramnit","Education",88,50
2016-06-30,"Ramnit","Finance",30,17
2016-06-30,"Ramnit","Government/Politics",58,11
2016-06-30,"Ramnit","Healthcare/Wellness",9,8
2016-06-30,"Ramnit","Manufacturing",559,11
2016-06-30,"Ramnit","Retail",208,5
2016-06-30,"Sality","Education",74,39
2016-06-30,"Sality","Finance",102,22
2016-06-30,"Sality","Government/Politics",103,12
2016-06-30,"Sality","Healthcare/Wellness",11,5
2016-06-30,"Sality","Manufacturing",378,22
2016-06-30,"Sality","Retail",144,9
2016-06-30,"zeroaccess","Education",22,11
2016-06-30,"zeroaccess","Finance",10,6
2016-06-30,"zeroaccess","Government/Politics",11,6
2016-06-30,"zeroaccess","Healthcare/Wellness",9,4
2016-06-30,"zeroaccess","Manufacturing",25,5
2016-06-30,"zeroaccess","Retail",182,6
2016-06-30,"Zeus","Education",56,19
2016-06-30,"Zeus","Finance",20,14
2016-06-30,"Zeus","Government/Politics",11,8
2016-06-30,"Zeus","Healthcare/Wellness",3,3
2016-06-30,"Zeus","Manufacturing",38,11
2016-06-30,"Zeus","Retail",28,6
2016-06-30,"Zusy","Education",33,12
2016-06-30,"Zusy","Finance",32,7
2016-06-30,"Zusy","Government/Politics",4,4
2016-06-30,"Zusy","Healthcare/Wellness",5,3
2016-06-30,"Zusy","Manufacturing",42,4
2016-06-30,"Zusy","Retail",368,4
2016-07-01,"Bedep","Education",14,7
2016-07-01,"Bedep","Finance",235,11
2016-07-01,"Bedep","Government/Politics",88,8
2016-07-01,"Bedep","Healthcare/Wellness",15,5
2016-07-01,"Bedep","Manufacturing",30,6
2016-07-01,"Bedep","Retail",232,4
2016-07-01,"ConfickerAB","Education",463,77
2016-07-01,"ConfickerAB","Finance",205,49
2016-07-01,"ConfickerAB","Government/Politics",294,36
2016-07-01,"ConfickerAB","Healthcare/Wellness",283,97
2016-07-01,"ConfickerAB","Manufacturing",1176,72
2016-07-01,"ConfickerAB","Retail",801,38
2016-07-01,"Necurs","Education",67,29
2016-07-01,"Necurs","Finance",26,23
2016-07-01,"Necurs","Government/Politics",105,11
2016-07-01,"Necurs","Healthcare/Wellness",7,6
2016-07-01,"Necurs","Manufacturing",184,13
2016-07-01,"Necurs","Retail",61,10
2016-07-01,"Olmasco","Education",2,1
2016-07-01,"Olmasco","Healthcare/Wellness",1,1
2016-07-01,"Olmasco","Manufacturing",2,1
2016-07-01,"Olmasco","Retail",10,2
2016-07-01,"PushDo","Finance",14,1
2016-07-01,"PushDo","Government/Politics",9,2
2016-07-01,"PushDo","Healthcare/Wellness",3,1
2016-07-01,"PushDo","Manufacturing",759,8
2016-07-01,"PushDo","Retail",84,2
2016-07-01,"Ramnit","Education",81,45
2016-07-01,"Ramnit","Finance",31,16
2016-07-01,"Ramnit","Government/Politics",64,7
2016-07-01,"Ramnit","Healthcare/Wellness",10,7
2016-07-01,"Ramnit","Manufacturing",592,12
2016-07-01,"Ramnit","Retail",193,7
2016-07-01,"Sality","Education",81,38
2016-07-01,"Sality","Finance",119,19
2016-07-01,"Sality","Government/Politics",98,9
2016-07-01,"Sality","Healthcare/Wellness",7,5
2016-07-01,"Sality","Manufacturing",287,24
2016-07-01,"Sality","Retail",121,8
2016-07-01,"zeroaccess","Education",12,8
2016-07-01,"zeroaccess","Finance",9,5
2016-07-01,"zeroaccess","Government/Politics",15,8
2016-07-01,"zeroaccess","Healthcare/Wellness",3,3
2016-07-01,"zeroaccess","Manufacturing",19,6
2016-07-01,"zeroaccess","Retail",196,3
2016-07-01,"Zeus","Education",71,25
2016-07-01,"Zeus","Finance",15,10
2016-07-01,"Zeus","Government/Politics",11,7
2016-07-01,"Zeus","Healthcare/Wellness",8,5
2016-07-01,"Zeus","Manufacturing",40,11
2016-07-01,"Zeus","Retail",46,8
2016-07-01,"Zusy","Education",25,12
2016-07-01,"Zusy","Finance",19,4
2016-07-01,"Zusy","Government/Politics",4,3
2016-07-01,"Zusy","Healthcare/Wellness",4,3
2016-07-01,"Zusy","Manufacturing",48,5
2016-07-01,"Zusy","Retail",400,5
2016-07-02,"Bedep","Education",5,3
2016-07-02,"Bedep","Finance",163,5
2016-07-02,"Bedep","Government/Politics",10,6
2016-07-02,"Bedep","Healthcare/Wellness",14,5
2016-07-02,"Bedep","Manufacturing",34,6
2016-07-02,"Bedep","Retail",258,2
2016-07-02,"ConfickerAB","Education",405,78
2016-07-02,"ConfickerAB","Finance",208,42
2016-07-02,"ConfickerAB","Government/Politics",235,32
2016-07-02,"ConfickerAB","Healthcare/Wellness",263,86
2016-07-02,"ConfickerAB","Manufacturing",1187,60
2016-07-02,"ConfickerAB","Retail",819,33
2016-07-02,"Necurs","Education",17,11
2016-07-02,"Necurs","Finance",15,10
2016-07-02,"Necurs","Government/Politics",44,7
2016-07-02,"Necurs","Healthcare/Wellness",4,4
2016-07-02,"Necurs","Manufacturing",58,7
2016-07-02,"Necurs","Retail",33,5
2016-07-02,"Olmasco","Healthcare/Wellness",1,1
2016-07-02,"Olmasco","Manufacturing",1,1
2016-07-02,"Olmasco","Retail",10,2
2016-07-02,"PushDo","Finance",19,1
2016-07-02,"PushDo","Government/Politics",1,1
2016-07-02,"PushDo","Manufacturing",731,6
2016-07-02,"PushDo","Retail",188,2
2016-07-02,"Ramnit","Education",55,33
2016-07-02,"Ramnit","Finance",18,12
2016-07-02,"Ramnit","Government/Politics",55,4
2016-07-02,"Ramnit","Healthcare/Wellness",9,8
2016-07-02,"Ramnit","Manufacturing",567,11
2016-07-02,"Ramnit","Retail",191,8
2016-07-02,"Sality","Education",48,29
2016-07-02,"Sality","Finance",63,12
2016-07-02,"Sality","Government/Politics",48,6
2016-07-02,"Sality","Healthcare/Wellness",6,4
2016-07-02,"Sality","Manufacturing",222,23
2016-07-02,"Sality","Retail",140,8
2016-07-02,"zeroaccess","Education",6,5
2016-07-02,"zeroaccess","Finance",10,4
2016-07-02,"zeroaccess","Government/Politics",4,3
2016-07-02,"zeroaccess","Healthcare/Wellness",9,3
2016-07-02,"zeroaccess","Manufacturing",28,4
